NOM	ADREÇA	DISTRICTE	C. P.	POBLACIO	PAIS	Telèfon 1	Telèfon 2	WEB	E-MAIL	INFO EXTRA 1	INFO EXTRA 2	INFO EXTRA 3
Bar Restaurant Habana Barcelona	Carrer Escar 1	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932250263	+34 932214467	http://www.habanabarcelona.com	habanabarcelona@habanabarcelona.com			
Restaurant Free & Fresh	Carrer Balmes 193	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934156224						
Bar Pinocho	la Rambla 101	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933171731						
Col·legi d'Arquitectes de Catalunya	Pl Nova 5	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933067850	+34 933015000					
Bar Glüh	Verdaguer i Callís 6	Ciutat Vella	08003	BARCELONA	ESPANYA							
Bar Mandarina	Diputació 157	Eixample	08011	BARCELONA	ESPANYA	+34 933233393						
Bar Restaurant El Último Agave	Carrer Aragó 193	Eixample	08011	BARCELONA	ESPANYA	+34 934549343		http://www.elultimoagave.com	elultimoagave@elultimoagave.com			
Restaurant Candela Raval	Carrer Hospital 48	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933010813		http://www.candelaraval.com	info@candelaraval.com			
Hotel Claris	Carrer Pau Claris 150	Eixample	08009	BARCELONA	ESPANYA	+34 934874647	+34 934876262	http://www.derbyhotels.es	east47.bcn@derbyhotels.es			
Restaurant Japonès Misaki	Carrer Aribau 40	Eixample	08011	BARCELONA	ESPANYA	+34 934513393						
Restaurant La Locanda	Carrer Doctor Joaquim Pou 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933174609		http://www.restaurantelalocanda.com				
Gran Hotel Havana Barcelona	G.V. Corts Catalanes 647	Eixample	08010	BARCELONA	ESPANYA	+34 934121115	+34 934122611	http://www.grandhotelhavana.com				
Restaurant Fresc Co - Av Diagonal/Muntaner	Av Diagonal 449	Eixample	08036	BARCELONA	ESPANYA	+34 934106106	+34 933016837		frescco@frescco.com	http://www.frescco.com		
Restaurant Xinès Hecheng	Entença 12	Eixample	08015	BARCELONA	ESPANYA	+34 933252349						
Restaurant Eterna	Carrer Consell de Cent 127-129	Eixample	08015	BARCELONA	ESPANYA	+34 934242526	+34 934235075		info@restauranteeterna.com	http://www.restauranteeterna.com		
Restaurant Kailash	Carrer Xifré 100	Sant Martí	08026	BARCELONA	ESPANYA	+34 934330766			tibkailash@hotmail.com			
Free Girls	Marià Cubí 4	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932172296						
Bulería Café-bar	Aribau 66	Eixample	08011	BARCELONA	ESPANYA	+34 934531019						
Restaurant Can Cargol	Carrer València 324	Eixample	08009	BARCELONA	ESPANYA	+34 934589631	+34 934580017					
Restaurant Hisop	Ptge Marimon 9	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932413233	+34 932413233	http://www.hisop.com	hisop@hisop.com			
Cafè Just	Sots-tinent Navarro 18	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933106456						
Restaurant Can Seixanta - Pau Claris	Carrer Pau Claris 128	Eixample	08009	BARCELONA	ESPANYA	+34 934879581						
Restaurant Tívoli Tercer Mil·lenni	Carrer Rector Ubach 25-27	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932090381	+34 932001304	http://www.tivoli-bcn.com				
Bar Imagine	Aribau 153	Eixample	08036	BARCELONA	ESPANYA	+34 933225390						
Bar Prelude	Provença 277	Eixample	08037	BARCELONA	ESPANYA	+34 934879445						
Restaurant Litoral	Pescadors 87	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932212209	+34 932214812					
Restaurant Bona Tapa	Pg Fabra i Puig 148	Nou Barris	08016	BARCELONA	ESPANYA	+34 933491372						
New Orleans Coffe & Tea Company	Pg Fabra i Puig 276	Nou Barris	08031	BARCELONA	ESPANYA	+34 933577957						
Restaurant Melton	Carrer Muntaner 189 bxs	Eixample	08036	BARCELONA	ESPANYA	+34 933632776	+34 933632776	http://www.restauran-melton.com				
Cafeteria Restaurant Zelig	Carrer Carme 116	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934415622						
Bar McDonald's - Maremàgnum	Moll Espanya 5-6	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932258195		http://www.mcdonalds.es				
Restaurant Grill-Braseria	Moll Espanya 5-6	Ciutat Vella	08039	BARCELONA	ESPANYA							
Bar Nit i Dia - Maremàgnum	Moll Espanya 5-6	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932258001						
Bar restaurant Berlín	Muntaner 242	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932006542						
Restaurant El Comedor	Carrer Palau 6	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933175405						
Restaurant Polenta	Carrer Ample 51	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 932681429						
Bar Jupiter	Jupí 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 932683650						
Bar Restaurant L'Hostal de la Bona Sort	Carrer Carders 12	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933105460						
Restaurant Lizarran - Sardenya	Carrer Sardenya 324	Eixample	08025	BARCELONA	ESPANYA	+34 934462003	+34 934368707		lizarransagradafamilia@yahoo.com	http://www.grupolizarran.com		
Restaurant Coure	Ptge Marimon 20 bxs	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932007532			restaurantcoure@hotmail.com			
Restaurant Farga - Beethoven	Carrer Beethoven 11	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932402044	+34 934146519					
Restaurant Asador de Aranda - Pau Claris	Carrer Pau Claris 70	Eixample	08010	BARCELONA	ESPANYA	+34 933425577	+34 933425578		asador@asadoraranda.com			
Restaurant Foster's Hollywood - Pg M Girona	Pg Manuel Girona 38-LB	Les Corts	08034	BARCELONA	ESPANYA	+34 932806153	+34 932060174		fostershollywood@fostershollywood.es	http://www.fostershollywood.es		
Restaurant Foster's Hollywood - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608851	+34 933608852		fostershollywood@fostershollywood.es	http://www.fostershollywood.es		
Restaurant Foster's Hollywood - Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 932761954	+34 932761962		fostershollywood@fostershollywood.es	http://www.fostershollywood.es		
Bar Restaurant La Tasqueta	Pallars 243	Sant Martí	08005	BARCELONA	ESPANYA	+34 933075901						
Bar Restaurant Pita Inn - Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 933010037						
Restaurant Bar Musical Imprevist	Carrer Ferlandina 34	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933425859		http://www.imprevist.es				
Bar Restaurant Japonès Machiroku	Carrer Moles 21	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934126082						
Bar cafeteria Il Caffè di Roma - Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 932765126						
Restaurant Rodilla - Diagonal Mar	Av Diagonal 3	Sant Martí	08019	BARCELONA	ESPANYA	+34 933560413	+34 933562403					
Restaurant Little Italy - Av Marques de L'Argentera	Av Marquès de l'Argentera 19	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932687633	+34 934813071					
Hotel Saint Moritz	Carrer Diputació 262-264	Eixample	08007	BARCELONA	ESPANYA	+34 934121500	+34 934121236	http://www.hcchotels.com				
Bar Ca la Lluisa - Diagonal Mar	Av Diagonal 3	Sant Martí	08019	BARCELONA	ESPANYA	+34 935525617	+34 935525618					
Restaurant El Racó d'en José Luis II	Carrer Salvador Espriu 61	Sant Martí	08005	BARCELONA	ESPANYA	+34 932211122	+34 902104143	http://www.accua.com				
Da Geppetto	Rbla Poblenou 27	Sant Martí	08005	BARCELONA	ESPANYA	+34 932254018						
Club Natació Atlètic -  Barceloneta	Pl Mar 1	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932210387						
Restaurant Taberna Abasolo Etxea	Carrer Marià Cubí 190	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932004877	+34 932092422	http://www.abasoloetxea.com				
Bar Berlin	Muntaner 240	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932006542						
Bar Restaurant On	Sant Domènec del Call 14	Ciutat Vella	08002	BARCELONA	ESPANYA							
Restaurant Biblioteca	Carrer Junta de Comerç 28	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934126221			chef@bilbio-teca.com			
Bar musical Fritz Mar	Pg Marítim Barceloneta 34	Ciutat Vella	08005	BARCELONA	ESPANYA	+34 932217765	+34 934146990					
Hotel Rívoli Rambla	Carrer la Rambla 128	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934817676	+34 933175053					
Hotel Barcelona Hilton	Av Diagonal 589-591	Les Corts	08014	BARCELONA	ESPANYA	+34 934957777	+34 934957700					
Bar Restaurant L'Explendid	Carrer Aribau 254	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932008877						
Restaurant Bar Ra	Pl Gardunya 1	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933014163	+34 933016132					
Restaurant Embat	Carrer Mallorca 304	Eixample	08037	BARCELONA	ESPANYA	+34 934580855			info@restaurantembat.es			
Base Nàutica Municipal de la Mar Bella	Ptja Bogatell	Sant Martí	08005	BARCELONA	ESPANYA	+34 932210432						
Reial Cercle Artístic -  Institut Barcelonès d'Art	Carrer Arcs 5	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933015937			cercleartistic@cconline.es			
Cafeteria Café & Té - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608105		http://www.cafeandte.com				
Natural Blend - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608145						
Vilaplana - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA							
Dunkin Donuts - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608767		http://www.dunkindonuts.com				
Jamaica Coffee Shop - La Maquinista	Pg Potosí 2 bxs B	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608729		http://www.jamaicacoffeeshop.es				
Cafeteria Cafe Quijano - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608741						
Restaurant Bazaar - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608350						
Restaurant Taverna Sagardi-Euskal - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608115	+34 933435411	http://www.sagardi.com	reservas@sagardi.es			
Res. Pastafiore - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608097			pfbarcelonamaquinista@pansandcompany.com			
Restaurant Pitamanía - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608864						
Cerveseria Restaurant Gambrinus - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608219						
Restaurant Lizarran - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608941	+34 933608941		dfcpromo@wanodoo.es			
Restaurant TapasBar - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608879		http://www.tapasbar.es				
Restaurant La Granja - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608186						
Restaurant Cantina Mariachi - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608346	+34 933608346	http://www.cantina-mariachi.com				
Cerveseria Restaurant El Fraile - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608944	+34 932213481	http://www.elfraile.net	elfraile@elfraile.net			
Restaurant Trattoria Ginos - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608123	+34 902423423	http://www.grupovips.com				
Bar Burger King - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA							
Bar McDonald's - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608732						
Bar Pans & Company - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608040		http://www.pansandcompany.com				
Happy Crack - La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA							
Restaurant La Lluna	Cro Sant Bonaventura 5	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933424479		http://www.lallunarestaurant.com	info@lallunarestaurant.com			
Bar Terra	Pujades 64	Sant Martí	08005	BARCELONA	ESPANYA	+34 932322486						
Hotel Intercontinental Princesa Sofía Barcelona	Pl Pius XII 4	Les Corts	08034	BARCELONA	ESPANYA	+34 935081010	+34 933302154		psofiacontraste@expogrupo.com	http://www.expogrupo.com		
Restaurant Sugar Club - World Trade Center	Moll Barcelona 1	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 935088325	+34 932289721		info@sugarclub-barcelona.com	http://www.sugarclub-barcelona.com		
Bar Restaurant O'Carballo	Trav Gràcia 252	Gràcia	08025	BARCELONA	ESPANYA	+34 934574197						
Bar Restaurant Xiscarexantar	Pere IV 59 Baix	Sant Martí	08018	BARCELONA	ESPANYA	+34 934855862	+34 934855862					
Restaurant Txalaparta	Carrer Sants 146-152	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 934092019	+34 934902973	http://www.restaurantetxalaparta.com	txalaparta@restaurantetxalaparta.com			
Restaurant Alta Taberna Paco Meralgo	Carrer Muntaner 171	Eixample	08036	BARCELONA	ESPANYA	+34 934309027	+34 933221507	http://www.pacomeralgo.com				
Restaurant de Tapa Madre	Carrer Mallorca 301 bxs	Eixample	08037	BARCELONA	ESPANYA	+34 934593134	+34 934572861	http://www.detapamadre.com	detapamadre@hotmail.com			
Restaurant Carmelitas	Carrer Doctor Dou 1	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934124684	+34 933426751		carmelitas@iservicesmail.com	http://www.carmelitas.biz	Carrer Carme 42	
Restaurant Torre d'Altamar	Pg J Borbó Comte Barcelona 88	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932210007	+34 932210090		reserves@torredealtamar.com	http://www.torredealtamar.com		
Centre Garcilaso	Carrer Garcilaso 103	Sant Andreu	08027	BARCELONA	ESPANYA	+34 932562959	+34 932431710					
Cafeteria The Bagel Shop	Pl Vila de Gràcia 8	Gràcia	08012	BARCELONA	ESPANYA	+34 932176101						
Gran Casino de Barcelona	Carrer Marina 19-21	Ciutat Vella	08005	BARCELONA	ESPANYA	+34 932257878	+34 932252182					
Bar Restaurant Arrel del Born	Carrer Fusina 5	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933199299	+34 933199299		arrel@virtualsys.com	http://www.arreldelborn.com		
Bar Restaurant Cros Diagonal	Av Diagonal 433	Eixample	08036	BARCELONA	ESPANYA	+34 934143748	+34 932094332		crosdiagonal@yahoo.es			
