CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;LATITUD;LONGITUD;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42192475704382;2.0859931527995546;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42358679993451;2.087717048137939;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42357087428145;2.087980548151838;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42442013436671;2.088303748355554;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42512951741236;2.08847123001137;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42454783628126;2.0885054064214863;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.429096936965095;2.0894665146018276;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.429026801131734;2.09005684191924;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4253574399495;2.090340771654347;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42543981187257;2.090367984856957;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42643152131192;2.090728132358964;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42637864343294;2.090742405553895;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42568471554198;2.0908762981926445;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.428002773837754;2.090865693675129;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42793649432436;2.090888124740612;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42571715330904;2.0909358269841922;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42739648895809;2.0911798106395842;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.427378309757124;2.091186371218644;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42974752052793;2.091179180019296;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42585955517096;2.0917334054562318;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42582472049815;2.091786655893226;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42903456102719;2.092637005963938;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42922613258108;2.0933101218093557;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41751710462061;2.0939301811892967;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42913142303198;2.093825005521099;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41746032750786;2.0939983988588584;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.427774116653836;2.094140085791925;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42826357732544;2.0949431208791225;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42838950897124;2.09505060405339;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42009162989286;2.095546658930012;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42005552278326;2.095599836455752;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42019095415423;2.095759696931676;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42533114645006;2.095852683461802;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.425171205081;2.095855428926033;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41967604210453;2.095992131736886;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42643528354674;2.09600480474294;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41775567599034;2.0961414269768794;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4314920162935;2.095952185532986;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42637810142627;2.0960479873919047;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.431652172739355;2.0960009018791226;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41973824588241;2.096179943939478;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41974100986985;2.096245134685511;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41777259131479;2.096280082730167;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41780174053832;2.09631348282469;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42801516406059;2.096957343925739;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.434891870630466;2.0968896815482267;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43128389853717;2.0970427160953733;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42797874218528;2.0972585674322755;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41832615650493;2.097424548410214;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.418266803343535;2.0974459639750602;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.418905036476964;2.0974462096890307;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41828605050451;2.0974882252752574;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41891204340603;2.0974931760895155;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43121955516182;2.09734759695047;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42260644626575;2.097517605913688;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41971909223334;2.0975942594751618;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.418932329062216;2.097613862492802;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.419764447402;2.097607237436635;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42259056125453;2.0976031024546855;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4197483663514;2.097675788445529;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42602209793158;2.097598815504633;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4335088803743;2.0975312263856747;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42599311638722;2.0977084689326593;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.429677893357415;2.0976856214051662;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43358661914804;2.0977201572189657;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42979306088855;2.0977853621409106;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.421102122749055;2.097910299471205;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42106346018285;2.09793293701162;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.421077143155074;2.0979537013187524;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42122016243748;2.098008743467717;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42176418605773;2.0980031896079194;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42718376631519;2.09823499916039;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42726935036318;2.098444735819326;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42029570236807;2.0989869967409014;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42029569345532;2.0989870088306435;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43080194157843;2.100013375412808;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43068894671274;2.100192272673854;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42748536869481;2.1007605689671216;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42778757471828;2.100866312185036;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43118703735937;2.101718062288647;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43126880599526;2.101891017731086;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43000932217967;2.1019321942058826;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.430091730668565;2.1020209885714034;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41844167035805;2.1023638903874025;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41075838849897;2.1027506496266746;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.410869438907675;2.1027503299810912;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41706512043888;2.103723031466372;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41683225676039;2.1038937557039366;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41288323124398;2.1040038739920757;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.413139185535684;2.1042523922694665;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.391084968509105;2.104667947566947;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39330630988748;2.104930357609168;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.416090307929544;2.104621900577529;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.386800224600734;2.105091872816829;BUS -63-68-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39084330156832;2.1053296646380386;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39501327069044;2.1054096269837737;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38681913452154;2.105581152883331;BUS -22-63-68-78-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41564491698503;2.1052621992993346;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414797237642254;2.1053297117860463;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414683979472834;2.1053426451958805;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414833384250315;2.105767621318293;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38753051261422;2.1063071554024404;BUS -22--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.390634356950535;2.1063684807522165;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41637285998743;2.1064103571409594;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.388755714832975;2.1068110521486996;BUS -EP1-JM--;;
